RIAccount,Account,Subaccount,Lawson Account
2134,892901,0,892901-00000
2135,892901,0,892901-00000
2136,892901,0,892901-00000
2137,892901,0,892901-00000
2138,892901,0,892901-00000
2139,892901,0,892901-00000
2140,892901,0,892901-00000
2150,892901,0,892901-00000
2151,892901,0,892901-00000
2152,892901,0,892901-00000
2153,892901,0,892901-00000
2154,892901,0,892901-00000
2155,892901,0,892901-00000
2156,892901,0,892901-00000
2157,892901,0,892901-00000
2158,892901,0,892901-00000
2159,892901,0,892901-00000
2160,892901,0,892901-00000
2161,892901,0,892901-00000
2162,892901,0,892901-00000
2163,892901,0,892901-00000
2164,892901,0,892901-00000
2165,892901,0,892901-00000
2166,892901,0,892901-00000
2167,892901,0,892901-00000
1092,892901,0,892901-00000
382,892902,0,892902-00000
389,892902,0,892902-00000
390,892902,0,892902-00000
460,892902,0,892902-00000
472,892902,0,892902-00000
484,892902,0,892902-00000
494,892902,0,892902-00000
1938,892902,0,892902-00000
1939,892902,0,892902-00000
2092,892902,0,892902-00000
1947,892902,0,892902-00000
418,892902,0,892902-00000
1968,892902,0,892902-00000
1980,892902,0,892902-00000
1981,892902,0,892902-00000
1982,892902,0,892902-00000
1983,892902,0,892902-00000
1984,892902,0,892902-00000
1985,892902,0,892902-00000
1986,892902,0,892902-00000
1987,892902,0,892902-00000
1988,892902,0,892902-00000
1989,892902,0,892902-00000
1990,892902,0,892902-00000
1991,892902,0,892902-00000
1992,892902,0,892902-00000
2000,892902,0,892902-00000
434,892902,0,892902-00000
2011,892902,0,892902-00000
448,892902,0,892902-00000
2064,892902,0,892902-00000
2093,892902,0,892902-00000
506,892910,0,892910-00000
507,892910,0,892910-00000
508,892910,0,892910-00000
509,892911,0,892911-00000
510,892911,0,892911-00000
511,892911,0,892911-00000
512,892912,0,892912-00000
513,892912,0,892912-00000
514,892912,0,892912-00000
582,976525,38031,976525-38031
583,976525,38031,976525-38031
584,976525,38031,976525-38031
585,976525,38032,976525-38032
580,976525,38041,976525-38041
2228,976525,38041,976525-38041
581,976525,38042,976525-38042
2230,976525,38042,976525-38042
2229,976525,38051,976525-38051
2231,976525,38052,976525-38052
801,892901,0,892901-00000
802,892901,0,892901-00000
803,892901,0,892901-00000
804,892901,0,892901-00000
805,892901,0,892901-00000
806,892901,0,892901-00000
807,892901,0,892901-00000
808,892901,0,892901-00000
809,892901,0,892901-00000
810,892901,0,892901-00000
1094,892901,0,892901-00000
748,892902,0,892902-00000
754,892902,0,892902-00000
766,892902,0,892902-00000
778,892902,0,892902-00000
790,892902,0,892902-00000
800,892902,0,892902-00000
755,892900,38031,892900-38031
756,892900,38031,892900-38031
757,892900,38031,892900-38031
758,892900,38031,892900-38031
759,892900,38031,892900-38031
760,892900,38031,892900-38031
761,892900,38031,892900-38031
762,892900,38031,892900-38031
763,892900,38031,892900-38031
764,892900,38031,892900-38031
765,892900,38031,892900-38031
767,892900,38031,892900-38031
768,892900,38031,892900-38031
769,892900,38031,892900-38031
770,892900,38031,892900-38031
771,892900,38031,892900-38031
772,892900,38031,892900-38031
773,892900,38031,892900-38031
774,892900,38031,892900-38031
775,892900,38031,892900-38031
776,892900,38031,892900-38031
777,892900,38031,892900-38031
779,892900,38031,892900-38031
780,892900,38031,892900-38031
781,892900,38031,892900-38031
782,892900,38031,892900-38031
783,892900,38031,892900-38031
784,892900,38031,892900-38031
785,892900,38031,892900-38031
786,892900,38031,892900-38031
787,892900,38031,892900-38031
788,892900,38031,892900-38031
789,892900,38031,892900-38031
851,976525,38031,976525-38031
852,976525,38031,976525-38031
853,976525,38031,976525-38031
791,892900,38032,892900-38032
792,892900,38032,892900-38032
793,892900,38032,892900-38032
794,892900,38032,892900-38032
795,892900,38032,892900-38032
796,892900,38032,892900-38032
797,892900,38032,892900-38032
798,892900,38032,892900-38032
799,892900,38032,892900-38032
854,976525,38032,976525-38032
742,892900,38041,892900-38041
743,892900,38041,892900-38041
744,892900,38041,892900-38041
745,892900,38041,892900-38041
746,892900,38041,892900-38041
747,892900,38041,892900-38041
749,892900,38041,892900-38041
750,892900,38041,892900-38041
751,892900,38041,892900-38041
752,892900,38041,892900-38041
753,892900,38041,892900-38041
1769,976900,18011,976900-18011
1784,976900,18011,976900-18011
2265,976900,18011,976900-18011
2286,976900,18011,976900-18011
1799,976900,18011,976900-18011
2307,976900,18011,976900-18011
1753,976900,18011,976900-18011
1826,976900,18011,976900-18011
2237,976900,18011,976900-18011
2329,976900,18011,976900-18011
1752,976900,18011,976900-18011
2236,976900,18011,976900-18011
1758,976900,18011,976900-18011
1762,976900,18011,976900-18011
1766,976900,18011,976900-18011
1773,976900,18011,976900-18011
1777,976900,18011,976900-18011
1781,976900,18011,976900-18011
