RIAccount,Account,Subaccount,Lawson Account
333,776103,18032,776103-18032
1067,776103,18032,776103-18032
1669,776104,18011,776104-18011
292,776105,18022,776105-18022
1050,776109,18011,776109-18011
1051,776109,18011,776109-18011
310,776123,18011,776123-18011
311,776123,18011,776123-18011
314,776123,18012,776123-18012
315,776123,18012,776123-18012
312,776123,18021,776123-18021
313,776123,18021,776123-18021
316,776123,18022,776123-18022
317,776123,18022,776123-18022
322,776123,18031,776123-18031
323,776123,18031,776123-18031
324,776123,18031,776123-18031
325,776123,18031,776123-18031
326,776123,18031,776123-18031
327,776123,18031,776123-18031
1056,776123,18031,776123-18031
1057,776123,18031,776123-18031
1058,776123,18031,776123-18031
1059,776123,18031,776123-18031
1060,776123,18031,776123-18031
1061,776123,18031,776123-18031
1329,776123,18031,776123-18031
1330,776123,18031,776123-18031
1331,776123,18031,776123-18031
1332,776123,18031,776123-18031
1333,776123,18031,776123-18031
1334,776123,18031,776123-18031
1335,776123,18031,776123-18031
1336,776123,18031,776123-18031
1337,776123,18031,776123-18031
1338,776123,18031,776123-18031
1339,776123,18031,776123-18031
1340,776123,18031,776123-18031
328,776123,18032,776123-18032
329,776123,18032,776123-18032
1062,776123,18032,776123-18032
1063,776123,18032,776123-18032
250,776902,0,776902-00000
251,776902,0,776902-00000
2425,776902,0,776902-00000
2426,776902,0,776902-00000
1905,776902,0,776902-00000
1906,776902,0,776902-00000
1907,776902,0,776902-00000
1908,776902,0,776902-00000
2435,776902,0,776902-00000
2436,776902,0,776902-00000
2437,776902,0,776902-00000
2438,776902,0,776902-00000
1040,776902,0,776902-00000
1041,776902,0,776902-00000
1308,776902,0,776902-00000
1309,776902,0,776902-00000
1310,776902,0,776902-00000
1312,776902,0,776902-00000
1314,776902,0,776902-00000
1315,776902,0,776902-00000
1316,776902,0,776902-00000
1318,776902,0,776902-00000
586,776902,0,776902-00000
593,776902,0,776902-00000
594,776902,0,776902-00000
741,776902,0,776902-00000
587,130012,10000,130012-10000
589,430011,10000,430011-10000
590,433099,10000,433099-10000
592,530099,10000,530099-10000
591,599000,10000,599000-10000
588,705600,10000,705600-10000
694,376018,18011,376018-18011
695,376018,18011,376018-18011
696,376018,18011,376018-18011
2456,376018,18011,376018-18011
2457,376018,18011,376018-18011
701,776018,18011,776018-18011
732,776119,18011,776119-18011
719,776120,18011,776120-18011
710,776028,18021,776028-18021
2233,776119,18021,776119-18021
1681,776002,18031,776002-18031
1682,776002,18031,776002-18031
1683,776002,18031,776002-18031
1684,776002,18031,776002-18031
1699,776002,18031,776002-18031
1700,776002,18031,776002-18031
2232,776002,18031,776002-18031
699,776003,18031,776003-18031
1701,776003,18031,776003-18031
702,776030,18031,776030-18031
703,776030,18031,776030-18031
705,776030,18031,776030-18031
706,776030,18031,776030-18031
724,776119,18031,776119-18031
726,776119,18031,776119-18031
728,776119,18031,776119-18031
720,776120,18031,776120-18031
721,776120,18031,776120-18031
722,776120,18031,776120-18031
704,776125,18031,776125-18031
707,776125,18031,776125-18031
711,776125,18031,776125-18031
712,776125,18031,776125-18031
713,776125,18031,776125-18031
714,776125,18031,776125-18031
715,776125,18031,776125-18031
716,776125,18031,776125-18031
708,776000,18032,776000-18032
709,776000,18032,776000-18032
698,776002,18032,776002-18032
700,776002,18032,776002-18032
730,776119,18032,776119-18032
723,776120,18032,776120-18032
717,776125,18032,776125-18032
718,776125,18032,776125-18032
